epoch,binary_accuracy,loss,val_binary_accuracy,val_loss
0,0.5139999985694885,0.692428708076477,0.5659999847412109,0.6850367784500122
1,0.5764999985694885,0.6763666868209839,0.5289999842643738,0.6886177659034729
2,0.6209999918937683,0.651181161403656,0.6119999885559082,0.6547760367393494
3,0.6589999794960022,0.6218715906143188,0.6489999890327454,0.6228058934211731
4,0.6959999799728394,0.5840324759483337,0.652999997138977,0.6422510147094727
