epoch,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.7077747583389282,0.37421876192092896,3.6826889514923096,0.14921875298023224
1,1.686713457107544,0.3765625059604645,3.363905668258667,0.18437500298023224
2,1.688295602798462,0.38203126192092896,3.223062038421631,0.17890624701976776
3,1.6549946069717407,0.3921875059604645,3.1089322566986084,0.18281249701976776
4,1.6206108331680298,0.38984376192092896,2.9748916625976562,0.18437500298023224
5,1.6211639642715454,0.39453125,2.803591251373291,0.19296875596046448
6,1.6602569818496704,0.37890625,2.630586862564087,0.19765624403953552
7,1.6841449737548828,0.38984376192092896,2.485588550567627,0.21250000596046448
8,1.6476876735687256,0.3890624940395355,2.371242046356201,0.21015624701976776
9,1.6401052474975586,0.39921873807907104,2.2596452236175537,0.22187499701976776
